name,ring,quadrant,isNew,description
EBM,adopt,techniques,TRUE,"..."
Functioneel programmeren,adopt,techniques,TRUE,"..."
Pull request/reviews,adopt,techniques,TRUE,"..."
CI/CD,adopt,techniques,TRUE,"..."
Test driven development,trial,techniques,TRUE,"..."
Scrumban,trial,techniques,TRUE,"..."
POCs,trial,techniques,TRUE,"..."
Containerization,trial,techniques,TRUE,"..."
Scrum,assess,techniques,TRUE,"..."
sAfe,hold,techniques,TRUE,"..."
IntelliJ,adopt,tools,TRUE,"..."
Rider,adopt,tools,TRUE,"..."
Fork,adopt,tools,TRUE,"..."
Cursor,adopt,tools,TRUE,"..."
Docker,trial,tools,TRUE,"..."
Windsurf,trial,tools,TRUE,"..."
Ollama,trial,tools,TRUE,"..."
LLM's,trial,tools,TRUE,"..."
Bundeling,assess,tools,TRUE,"..."
Atlassian/confluence,hold,tools,TRUE,"..."
Teams,hold,tools,TRUE,"..."
Slack,hold,tools,TRUE,"..."
MacOS,adopt,platforms,TRUE,"..."
Openshift,adopt,platforms,TRUE,"..."
Azure portal,adopt,platforms,TRUE,"..."
Azure devops,adopt,platforms,TRUE,"..."
AWS,adopt,platforms,TRUE,"..."
Azure AI / foundry,adopt,platforms,TRUE,"..."
Containerization,trial,platforms,TRUE,"..."
Gitlab,trial,platforms,TRUE,"..."
Github,trial,platforms,TRUE,"..."
Cloudflare,trial,platforms,TRUE,"..."
K8S,assess,platforms,TRUE,"..."
Java,adopt,languages & frameworks,TRUE,"..."
.NET 10,adopt,languages & frameworks,TRUE,"..."
Spring(boot),adopt,languages & frameworks,TRUE,"..."
Quarkus,adopt,languages & frameworks,TRUE,"..."
Python,trial,languages & frameworks,TRUE,"..."
Langchain4J,trial,languages & frameworks,TRUE,"..."
Kotlin,trial,languages & frameworks,TRUE,"..."
Ktor,trial,languages & frameworks,TRUE,"..."
Scala,hold,languages & frameworks,TRUE,"..."
